,Average Household Income,Median Age,Median Household Income,Neighborhood,Per Capita Income,Food Stores (SIC54),Eating & Drinking (SIC58),Hotel/Lodging (SIC70),Dominant Tapestry LifeMode Group Code,Dominant Tapestry LifeMode Group Name,Total Population,Buffer Distance,Buffer Units
0,107120,45.0,73234,Timber,54059,1,1,1,5,GenXurban,1841,1,Kilometers
1,77663,28.3,53564,Veenker,34486,0,4,0,2,Upscale Avenues,3923,1,Kilometers
2,98860,40.0,75050,StoneBr,42476,2,5,0,4,Family Landscapes,3323,1,Kilometers
3,94082,34.4,81763,Somerst,39850,0,4,0,2,Upscale Avenues,4959,1,Kilometers
4,74934,29.7,58617,Sawyer,31749,0,1,0,5,GenXurban,3693,1,Kilometers
5,84880,28.7,72946,SawyerW,34858,0,0,0,3,Uptown Individuals,3062,1,Kilometers
6,73124,35.7,56502,OldTown,34381,14,32,2,5,GenXurban,4754,1,Kilometers
7,128688,39.9,101843,NridgHt,50493,1,0,0,4,Family Landscapes,2142,1,Kilometers
8,79334,43.4,65949,NPkVill,35922,5,11,0,8,Middle Ground,5261,1,Kilometers
9,111096,37.0,93059,NoRidge,46810,0,4,0,2,Upscale Avenues,3062,1,Kilometers
10,85415,42.1,67348,NAmes,38366,4,5,0,5,GenXurban,4858,1,Kilometers
11,77338,29.0,59121,Mitchel,31604,1,1,0,8,Middle Ground,2666,1,Kilometers
12,77338,29.0,59121,MeadowV,31604,1,1,0,8,Middle Ground,2666,1,Kilometers
13,125448,41.8,101294,Gilbert,48907,1,0,0,4,Family Landscapes,2966,1,Kilometers
14,49641,24.2,32214,Edwards,21591,6,15,0,14,Scholars and Patriots,5239,1,Kilometers
15,44200,21.9,25259,Crawfor,13158,3,16,1,14,Scholars and Patriots,8383,1,Kilometers
16,59493,24.2,52597,CollgCr,25185,4,7,1,14,Scholars and Patriots,5547,1,Kilometers
17,73278,28.1,59356,ClearCr,31556,3,11,0,14,Scholars and Patriots,4709,1,Kilometers
18,77400,37.3,63129,BrkSide,35781,2,2,0,5,GenXurban,4080,1,Kilometers
19,73435,24.4,42040,Blueste,28744,0,1,0,14,Scholars and Patriots,2332,1,Kilometers
20,132463,41.0,103230,Blmngtn,51172,1,0,0,4,Family Landscapes,2251,1,Kilometers
21,79825,43.0,65605,BrDale,35832,6,11,0,8,Middle Ground,4473,1,Kilometers
22,82511,37.8,68250,NWAmes,36392,4,9,0,8,Middle Ground,6111,1,Kilometers
23,29341,21.1,17580,SWISU,9956,7,39,2,14,Scholars and Patriots,14098,1,Kilometers
24,52713,27.9,36205,IDOTRR,25522,11,31,3,14,Scholars and Patriots,4053,1,Kilometers
